Entity ID,Entity Name,Plant ID,Plant Name,Google Map,Bing Map,Plant State,County,Balancing Authority Code,Sector,Generator ID,Unit Code,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Energy Source Code,Prime Mover Code,Planned Operation Month,Planned Operation Year,Status,Latitude,Longitude
65128,VESI 25 LLC,65952,Andover Energy Storage Project,Map,Map,NJ,Sussex,PJM,IPP Non-CHP,AD1,,20,20,20,Batteries,MWH,BA,3,2023,"(V) Under construction, more than 50 percent complete",40.847333,-74.76114
65127,VESI 24 LLC,65953,Howell Energy Storage Project,Map,Map,NJ,Monmouth,PJM,IPP Non-CHP,HW1,,7,7,7,Batteries,MWH,BA,3,2023,"(U) Under construction, less than or equal to 50 percent complete",40.1337,-74.17086
65148,"Seven Cowboy Wind Project, LLC",65971,"Seven Cowboy Wind Project, LLC",Map,Map,OK,Kiowa,SWPP,IPP Non-CHP,WT1,,301.7,301.7,301.7,Onshore Wind Turbine,WND,WT,3,2023,"(U) Under construction, less than or equal to 50 percent complete",35.292,-99.101
63640,"Safari Energy, LLC",65994,"Polk County GA S1, LLC",Map,Map,GA,Polk,SOCO,IPP Non-CHP,20066,,3,3,3,Solar Photovoltaic,SUN,PV,3,2023,"(U) Under construction, less than or equal to 50 percent complete",34.041911,-85.21392
63640,"Safari Energy, LLC",65995,"Reidsville Renewables, Inc.",Map,Map,GA,Tattnall,SOCO,IPP Non-CHP,20052,,3,3,3,Solar Photovoltaic,SUN,PV,3,2023,"(U) Under construction, less than or equal to 50 percent complete",32.065366,-82.13351
62856,"Forefront Power, LLC",66023,Grossmont-Cuyamaca-Cuyamaca Col. Solar &,Map,Map,CA,San Diego,CISO,IPP Non-CHP,18009,,1.4,1.4,1.4,Solar Photovoltaic,SUN,PV,3,2023,"(U) Under construction, less than or equal to 50 percent complete",32.7466,-116.9389
62856,"Forefront Power, LLC",66023,Grossmont-Cuyamaca-Cuyamaca Col. Solar &,Map,Map,CA,San Diego,CISO,IPP Non-CHP,19043,,1,1,1,Batteries,MWH,BA,3,2023,"(U) Under construction, less than or equal to 50 percent complete",32.7466,-116.9389
62915,Madison Energy Holdings LLC,66030,Johnson CSG 2,Map,Map,MN,Chisago,MISO,IPP Non-CHP,JOHN2,,1,1,1,Solar Photovoltaic,SUN,PV,3,2023,"(V) Under construction, more than 50 percent complete",45.4895,-92.8501
65227,"Cathcart Solar, LLC",66055,"Cathcart Solar, LLC",Map,Map,NC,Columbus,DUK,IPP Non-CHP,CATHC,,5,5,5,Solar Photovoltaic,SUN,PV,3,2023,"(V) Under construction, more than 50 percent complete",34.333898,-78.75281
65250,"Rafterville Solar, LLC",66084,Rafterville Solar,Map,Map,MN,Kandiyohi,MISO,IPP Non-CHP,14508,,1,1,0.8,Solar Photovoltaic,SUN,PV,3,2023,"(V) Under construction, more than 50 percent complete",45.13828,-94.73714
60025,Greenbacker Renewable Energy Corporation,66094,Bizer Creek,Map,Map,NY,Erie,NYIS,IPP Non-CHP,561,,1.5,1.5,1.5,Solar Photovoltaic,SUN,PV,3,2023,"(V) Under construction, more than 50 percent complete",43.00008,-78.79375
60025,Greenbacker Renewable Energy Corporation,66141,"Cortez Solar 3, LLC",Map,Map,CO,Montezuma,WACM,IPP Non-CHP,711,,2,2,2,Solar Photovoltaic,SUN,PV,3,2023,"(V) Under construction, more than 50 percent complete",37.303925,-108.5795
65265,Repsol Renewables NA,66163,Jicarilla Solar 1 LLC,Map,Map,NM,Rio Arriba,PNM,IPP Non-CHP,JICB1,,20,20,20,Batteries,MWH,BA,3,2023,"(U) Under construction, less than or equal to 50 percent complete",36.316748,-107.2776
65265,Repsol Renewables NA,66163,Jicarilla Solar 1 LLC,Map,Map,NM,Rio Arriba,PNM,IPP Non-CHP,JICS1,,50,50,50,Solar Photovoltaic,SUN,PV,3,2023,"(U) Under construction, less than or equal to 50 percent complete",36.316748,-107.2776
64904,AES Clean Energy,66174,Treasure Lane Solar 1,Map,Map,ME,Kennebec,ISNE,IPP Non-CHP,TREAS,,4.5,4.5,4.5,Solar Photovoltaic,SUN,PV,3,2023,"(V) Under construction, more than 50 percent complete",44.3352,-69.8401
55727,Orion Engineered Carbons,66175,Ivanhoe Generation Facility,Map,Map,LA,St Mary,MISO,Industrial Non-CHP,GEN1,,31,26.9,26.9,All Other,WH,ST,3,2023,"(V) Under construction, more than 50 percent complete",29.777,-91.736
49893,Invenergy Services LLC,66191,Maple Flats,Map,Map,IL,Clay,MISO,IPP Non-CHP,65015,,250,250,250,Solar Photovoltaic,SUN,PV,3,2023,"(V) Under construction, more than 50 percent complete",38.748461,-88.54686
63466,Conductive Power,66203,Ripley,Map,Map,MD,Charles,PJM,IPP Non-CHP,RIPLY,,27.5,27.5,27.5,Solar Photovoltaic,SUN,PV,3,2023,"(TS) Construction complete, but not yet in commercial operation",38.535,-77.097
65395,Ameresco HCE Solar LLC,66271,Ameresco HCE Solar LLC,Map,Map,CO,Garfield,PSCO,IPP Non-CHP,HCEBA,,5,5,5,Batteries,MWH,BA,3,2023,"(TS) Construction complete, but not yet in commercial operation",39.46647,-107.2348
65395,Ameresco HCE Solar LLC,66271,Ameresco HCE Solar LLC,Map,Map,CO,Garfield,PSCO,IPP Non-CHP,HCEPV,,4.5,4.5,4.5,Solar Photovoltaic,SUN,PV,3,2023,"(TS) Construction complete, but not yet in commercial operation",39.46647,-107.2348
61944,MN8 Energy LLC,66272,RIC - Hanover,Map,Map,NY,Chautauqua,NYIS,IPP Non-CHP,GEN1,,5,5,5,Solar Photovoltaic,SUN,PV,3,2023,"(V) Under construction, more than 50 percent complete",42.55,-79.15
61944,MN8 Energy LLC,66275,Summit - Oswego,Map,Map,NY,Oswego,NYIS,IPP Non-CHP,GEN1,,2.2,2.2,2.2,Solar Photovoltaic,SUN,PV,3,2023,"(V) Under construction, more than 50 percent complete",43.37,-76.46472
62915,Madison Energy Holdings LLC,66320,3Colton,Map,Map,MA,Worcester,ISNE,IPP Non-CHP,3COLT,,3.4,3.4,3.4,Solar Photovoltaic,SUN,PV,3,2023,"(U) Under construction, less than or equal to 50 percent complete",42.20618,-71.73999
9191,Idaho Power Co,66329,Melba BESS,Map,Map,ID,Canyon,IPCO,Electric Utility,1,,2,2,2,Batteries,MWH,BA,3,2023,"(U) Under construction, less than or equal to 50 percent complete",43.372252,-116.5609
21554,Seminole Electric Cooperative Inc,136,Seminole (FL),Map,Map,FL,Putnam,SEC,Electric Utility,CT1,SCCF,384.2,351,367.6,Natural Gas Fired Combined Cycle,NG,CT,4,2023,"(TS) Construction complete, but not yet in commercial operation",29.733056,-81.63278
21554,Seminole Electric Cooperative Inc,136,Seminole (FL),Map,Map,FL,Putnam,SEC,Electric Utility,CT2,SCCF,384.2,351,367.6,Natural Gas Fired Combined Cycle,NG,CT,4,2023,"(TS) Construction complete, but not yet in commercial operation",29.733056,-81.63278
21554,Seminole Electric Cooperative Inc,136,Seminole (FL),Map,Map,FL,Putnam,SEC,Electric Utility,ST,SCCF,414.8,397.4,394.5,Natural Gas Fired Combined Cycle,NG,CA,4,2023,"(TS) Construction complete, but not yet in commercial operation",29.733056,-81.63278
3989,City of Colorado Springs - (CO),492,South Plant,Map,Map,CO,El Paso,WACM,Electric Utility,A1,,40.6,27.3,27.3,Natural Gas Fired Combustion Turbine,NG,GT,4,2023,"(TS) Construction complete, but not yet in commercial operation",38.824444,-104.8333
3989,City of Colorado Springs - (CO),492,South Plant,Map,Map,CO,El Paso,WACM,Electric Utility,A2,,40.6,27.3,27.3,Natural Gas Fired Combustion Turbine,NG,GT,4,2023,"(TS) Construction complete, but not yet in commercial operation",38.824444,-104.8333
17568,Cooperative Energy,6061,R D Morrow,Map,Map,MS,Lamar,MISO,Electric Utility,MOR1,,550,514,514,Natural Gas Fired Combined Cycle,NG,CC,4,2023,"(V) Under construction, more than 50 percent complete",31.2186,-89.394
